height, code, distance, val, role, tonnes
50,W*ZF[7]ISR, 46.897,Cold,Electrician,8494
41,P*ZY[C]WWK, 38.338,Cold,Tester,8753
32,Q*QK[6]MGR, 12.546,Cold,PA,9455
51,Y*YV[6]QPK,100.303,Cold,Accountant,7202
37,L*UB[1]PJI, 78.057,Cold,Accountant,9301
34,I*FG[0]HfZD, 90.543,Cold,PA,11407
28,V*EB[6]FZL, 69.472,Cold,Labourer,11998
54,T*ZW[0]KQD, 88.182,Hot,Labourer,9108
48,G*ET[9]Z)R, 20.902,Cold,Developer,9172
51,J*WU[1]WFQ, 77.446,Cold,Director,9928
32,K*VL[1]ZAZ,  4.938,Hot,Director,11586
28,X*IA[8]BVW, 33.096,Cold,Electrician,7272
6,R*SZ[0]SWL,  6.911,Cold,Labourer,7307
44,E*OJ[3]FCT, 32.907,Hot,Cleaner,8194
51,T*LM[1]ZHG, 55.517,Cold,Electrician,896
53,T*NR[0]GSM, 74.583,Hot,PA,11651
44,R*VO[2]ASJ,  4.153,Hot,Labourer,7116
41,B*VI[1]KZN, 45.202,Cold,Cleaner,11993
53,I*PS[4]XRK, 96.172,Cold,Plumber,8364
16,Y*UH[1]SSN, 69.623,Cold,Co-ordinator,10881
30,F*JR[9]VBY,102.250,Cold,Developer,824
51,P*QF[3]CFK,  6.996,Hot,Developer,8238
43,Q*KD[7]HKN,  3.275,Cold,Programmer,4615
52,U*IS[7oCUG, 26.613,Cold,Cleaner,8333
9,J*EW[6]EX, 37.647,Hot,Manager,8474
33,K*DR[6]NLL,102.418,Cold,Cleaner,922
48,Y*JE[2]JIB,112.102,Hot,Co-ordinator,8477
9,D*IX[3]SAZ,119.521,Cold,Plumber,11391
43,S*DZ[0]IXW, 28.170,Hot,Driver,7890
9,G*TB[8]XKN,107.363,Cold,Electrician,1775
22,P6TJ[3]MCW, 48.421,Cold,Tester,10667
42,W*QE[0]SEE, 52.582,Cold,Labourer,8429
43,X*LO[8]HDB, 63.437,Cold,Accountant,11213
42,O*RN[5]IBJ,112.775,Cold,Labourer,2115
54,B*ZX[3]GNB, 39.555,Hot,Co-ordinator,1713
33,O*OY[9]RQO,101.555,Cold,Tester,482
52,G*BR[0]RYI,109.314,Cold,PA,7670
8,T*DN[9]JVH, 81.599,Cold,Secretary,4198
36,P*SF[5]UKH, 73.780,Cold,Cleaner,10657
44,V*NR[0]PTN, 24.569,Cold,Storeman,10012
54,F*MR[0]APU,  5.781,Cold,Storeman,7877
48,Z*IO[7]NGI, 25.885,Cold,Salesman,1016
39,X*PP[0]GXT,104.794,Cold,Cleaner,10663
40,I*EQ[2]OTP, 97.534,Hot,PA,10823
50,Q*H[0]MJN, 61.492,Cold,Secretary,6074
47,I*ZY[4]PBP, 53.323,Cold,Programmer,10786
52,T*QH[5]PHV,103.110,Cold,Electrician,9400
42,X*FY[2]JYF,111.580,Cold,Accountant,10603
28,V*EJ[4]IBO, 64.014,Hot,Plumber,2346
35,T*BL[7]WVZ, 83.002,Cold,Secretary,10809
43,P*VU[1]RXK, 48.396,Cold,Tester,11373
22,F*KO[2]LHV, 39.803,Cold,Developer,9048
34,V*OG[3]GEK, 82.224,Hot,Driver,10267
51,R*QZ[4]AOZ, 25.378,Cold,Secretary,10183
48,J*RD[5]DUI, 51.508,Cold,Electrician,3317
46,J*NR[6]GZH, 60.309,Hot,Electrician,9190
51,Z*KH[3]YMS,109.346,Cold,Programmer,2130
50,N*SL[9]CDH, 69.799,Cold,Co-ordinator,7056
54,T*KY[2]AYR, 45.653,Hot,Programmer,8721
44,U*RJ[9]GQK,109.383,Cold,Co-ordinator,2177
54,D*XC[4]MZX,114.580,Cold,Co-ordinator,8864
6,W*OI[7]OCL,116.799,Hot,Leader,9095
8,M*FX[3]ODI, 49.007,Cold,PA,2160
39,]*UV[1]MFG,103.914,Hot,Plumber,7940
8,Q*HS[8]EUU, 19.302,Cold,Co-ordinator,8559
14,W*AJ[8]VUY, 68.486,Cold,Electrician,8029
26,S*JL[0]SRF, 84.583,Hot,Manager,10645
45,Q*UY[0]DJP, 18.874,Hot,PA,603
23,R*FB[3]AYP, 92.476,Hot,Programmer,8599
47,M*NQ[9]DFL,118.780,Hot,Director,2069
48,Q*QT[0]GER, 47.863,Cold,Director,9592
41,U*JQ[7]ZDU, 94.533,Cold,Developer,8302
44,B*GM[7]HEX, 55.967,Hot,Tester,9851
32,R*XI[9]VGU, 28.057,Hot,Electrician,6742
42,W*NB[8]VDS, 61.159,Hot,Co-ordinator,3748
36,MpVR[5]MXB, 79.330,Cold,Tester,9441
53,O*EC[3]JCH, 77.225,Cold,Director,3414
51,X*JP[6]SOB,  6.657,Hot,Director,9906
8,Y*KE[1]EJL, 83.618,Cold,Tester,8440
53,U*WQ[8]NLG, 60.318,Hot,Manager,11142
50,X*FK[6]LYT, 40.264,Hot,Leader,11418
42,P*BL[6]SHI, 93.348,Cold,Plumber,5226
14,Z*UV[5]BSH, 67.552,Hot,Labourer,11481
39,V*IM[6]XHK, 99.641,Hot,Developer,4540
52,T*HS[8]FPE,119.616,Hot,Tester,11196
23,U*JX[7]VNS,101.965,Cold,Electrician,11939
10,J*AB[6]LRR, 60.330,Cold,Manager,4632
46,R*TD[5]RAW,  3.701,Cold,Labourer,8065
44,O*SQ[4]SON,106.867,Cold,Developer,11440
53,M*VV[1]SGX,109.084,Cold,Director,1486
48,G*FE[8]MBL, 52.179,Cold,Storeman,3066
53,O*KJ[0]ZAG, 34.761,Cold,Salesman,3893
14,V*TH[8]PPY, 55.192,Hot,Storeman,2733
36,Q*DC[4]UFF, 22.443,Cold,Plumber,1189
44,J*LS[2]HSD, 43.322,Cold,PA,8413
15,W*BC[6]NIC, 44.957,Cold,Director,7357
44,X*GV[8]LTT,119.536,Hot,Developer,8692
54,V*EB[5]RGH, 42.579,Cold,Programmer,9333
30,T*DN[8]KXC, 31.153,Cold,Salesman,10708
44,O*LD[1]ZWC, 67.749,Hot,PA,11433
51,G*RR[7]ZCN, 80.008,Cold,Labourer,10195
33,I*XV[0]FLU, 41.665,Cold,Programmer,6231
40,K*BV[1]BAT, 30.006,Cold,Secretary,9262
24,T*EU[8]FAS, 55.490,Cold,Cleaner,234
21,TbGC[8]ELN, 33.652,Hot,Labourer,1043
9,O*QH[4]ETO, 49.177,Cold,Accountant,9255
51,C*AB[4]MZK,100.389,Cold,Leader,8585
23,B*VK[2]GWD, 86.340,Hot,Cleaner,11500
40,F*XJ[2]AIQ, 59.368,Cold,Salesman,9635
49,G*GZ[5]UTL, 64.558,Hot,Co-ordinator,7436
41,T*OI[5]XXS,107.833,Hot,PA,8323
50,G*OP[1]EMQ, 24.422,Cold,Co-ordinator,8608
26,T*IC[0]PAP, 59.793,Hot,PA,10279
23,Z*OV[8]UUK, 20.333,Hot,Storeman,7991
42,T*OU[4]LUT, 21.331,Cold,Director,10057
48,J*TV[2rPLZ,115.214,Hot,PA,11407
47,N*AF[3]HKA, 18.954,Hot,Secretary,8994
26,L*YF[7]MHM, 57.517,Cold,Leader,11488
43,W*LW[2]NZY, 59.317,Hot,Co-ordinator,9280
52,P*UQ[4]YVX, 72.305,Cold,Leader,8836
44,M*EF[0]FYJ, 26.876,Hot,Labourer,2199
35,S*RZ[0]GNZ, 31.754,Cold,Programmer,5889
9,B8HP[1]SXG, 68.568,Hot,Programmer,4740
45,G*BP[4]UVA, 65.181,Cold,Director,3273
44,V*GS[3]CWG, 63.022,Hot,Labourer,9464
48,R*AO[1]2UKT, 78.360,Cold,Tester,10312
40,D*UQ[7]BZG, 19.935,Cold,Driver,10356
45,U*BR[8]OGY, 45.324,Cold,Leader,5511
46,G*JD[8]MLT, 56.000,Cold,Labourer,9952
41,T*MF[2PAE, 67.842,Cold,Tester,7579
53,F*SX[1]SCZ, 52.435,Hot,Programmer,10782
50,O*SU[3]HEQ, 47.453,Cold,Manager,8965
44,Q*JK[4]IVQ, 37.498,Cold,Plumber,8946
46,Q*H![6]SMR, 90.504,Cold,Accountant,9773
49,J*QB[0]EOI, 16.682,Cold,Secretary,9877
32,T*NL[5]UCK, 55.000,Cold,Labourer,9274
40,Q*IG[0]BQR, 53.983,Cold,Director,2428
43,B*XS[7]USY, 66.494,Cold,Programmer,10765
26,K*DR[4]XUY, 48.696,Cold,Salesman,9959
52,K*MT[9]DYR, 42.725,Cold,Secretary,6612
48,B*PQ[1]LXY, 72.019,Cold,Storeman,10869
13,U*JD[2]KEU, 30.856,Hot,PA,9143
43,B*TU[6]RJQ, 37.863,Hot,Electrician,10096
38,R*WA[2]AED, 22.287,Hot,Plumber,7812
47,O*XV[9]AAX,114.679,Hot,Director,5124
47,C*YX[0]EZW, 72.857,Hot,Electrician,10809
11,V*B>[3]SXS,  6.605,Cold,Plumber,4815
47,C*MN[9]PJL,  9.281,Cold,Co-ordinator,2077
30,W*CI8]ARP, 29.751,Cold,Secretary,9428
50,V*HE[2]ONC, 49.399,Hot,PA,10870
50,D*RO[7]HLO, 33.767,Hot,Tester,283
33,O*OC[0]CGZ, 38.694,Hot,Plumber,11494
43,W*XB[2]POA,119.142,Cold,Driver,194
49,N*XM[5]LCR, 27.599,Cold,Tester,8715
51,F*RU[2]CMR,102.783,Hot,Secretary,9777
52,M*OX[y]PRJ,106.212,Hot,Secretary,10312
45,S*CY[1]FCJ, 53.725,Hot,Director,11193
43,S*ZM[7]VXW, 57.209,Cold,Developer,7430
39,J*XY[0]ONQ, 45.926,Cold,Cleaner,8043
11,N*CM[6]HWD, 64.770,Cold,Programmer,10872
28,Z*RM[6]NFW,105.083,Cold,Co-ordinator,2566
39,F*YR[0]WFK, 95.782,Hot,Driver,10399
18,G*CS[9]VOX, 46.282,Cold,Developer,11681
39,B*SG[4]FVH,  8.742,Cold,Developer,10743
48,I*2IT[3]OZW, 24.192,Hot,Salesman,10732
47,Q*QA[5]RMD, 99.795,Hot,Electrician,11418
52,X*XS[1]JVD, 82.825,Cold,Labourer,4594
43,H*JW[9]HZZB,  4.917,Hot,Leader,10119
43,F*TB[2]ZVC, 86.893,Hot,Electrician,9050
32,O*GL[9]KPK,120.462,Cold,Tester,177
40,Y*JV[2]DHM, 58.321,Cold,Storeman,11223
47,C*HJ[7]MTO,  3.467,Hot,Driver,871
9,B*ED[2]LRN, 51.676,Hot,Programmer,11693
52,R*RG[9]EFC, 80.314,Cold,Manager,9098
15,U*TB[9]HJJ, 88.503,Hot,Tester,9851
50,E*RF[6]PHL, 95.066,Hot,PA,4256
33,Y*PS[3]L+JJ, 81.474,Cold,Driver,3634
53,O*PU[6]JYF,115.994,Cold,Salesman,11908
51,D*HA[2]VDT,107.087,Cold,Tester,7620
46,W*WM[6]GHV, 87.674,Hot,Director,9707
41,H*VL[3]YRT, 40.282,Hot,Plumber,10309
19,L*UC[9]YIH, 60.009,Hot,Electrician,11236
51,Y*BF[3]SPW, 97.560,Hot,Driver,8900
7,S*JN[1]MNI, 95.388,Cold,Plumber,5322
45,F*bH[8]LNQ,114.502,Cold,Cleaner,11447
54,G*QV[7]MOJ, 60.882,Cold,Labourer,7644
43,H*XB[0]BPK,111.658,Cold,Leader,8327
26,M*FV[5]IA, 39.193,Hot,Co-ordinator,9849
49,Q*GO[7]M3D, 32.740,Hot,Electrician,11161
24,Q*ZJ[5]CZZ, 49.066,Cold,PA,10771
45,X*XT[4]GZR, 49.169,Hot,Storeman,9402
50,W*YN[6]QCT, 84.203,Cold,Tester,9637
52,C*NQ[4]BDN, 90.430,Hot,Cleaner,8495
49,T*WM[7]SLO, 56.705,Cold,Tester,4313
7,V*KY[0]OGT, 30.459,Cold,Cleaner,7953
49,N*FG[8]RJU,105.936,Hot,Storeman,9933
51,I*FC[6]PYX, 15.318,Hot,PA,11418
40,T*EZ[9]RWM, 18.250,Cold,Plumber,8081
41,W*TJ[7]PTA, 45.963,Cold,Driver,11235
51,Z*VR[3]LOQ, 50.300,Cold,Tester,8773
13,T*ID[9]KXP,100.561,Hot,Tester,2960
40,W*RA[7]IFG, 81.173,Cold,Director,10525
22,K*EX[7]LCF, 46.369,Hot,Secretary,7077
49,V*E{[7]TLU,109.058,Cold,Programmer,5947
7,V*WR[0]UJN, 37.905,Cold,Electrician,11745
43,L*A[8]CVG, 37.625,Cold,Labourer,1098
39,T*KB[3]DZQ,116.106,Hot,Accountant,9292
42,K*YN[9]JJK, 45.472,Cold,Salesman,4511
41,H*OY[9]WFU, 11.567,Cold,Driver,10880
50,Q*CZ[4]UHW, 51.002,Cold,Electrician,10658
39,T*ZD[4]NAK, 55.136,Cold,Secretary,7836
26,Z*KM[1]IXQ,  9.668,Cold,Secretary,10738
41,R*DR[2]UEC, 16.354,Hot,Co-ordinator,9818
54,A*WJ[1]IXV,108.165,Hot,Storeman,10717
49,H*CK[0]GNU, 89.539,Cold,Tester,11749
49,P*FJ[5]HRL, 52.778,Cold,Plumber,583
43,Q*EW[8]BXU, 36.085,Cold,Secretary,9306
23,E*OM[2]JTV, 65.901,Hot,PA,10738
38,S*AO[3]OUU, 86.721,Cold,PA,11471
40,J*AU[0]LNL, 88.429,Hot,Electrician,3880
48,D*UL[0]PXO, 53.022,Cold,Plumber,2052
47,I*RL[6]ULV, 44.321,Cold,PA,3272
47,L*BE[7]XJE, 55.020,Cold,Director,9081
44,J*GS[1]HHD, 19.297,Cold,PA,6268
47,K*OA[2]KKB, 18.049,Cold,Electrician,8184
15,K*ZG[9]MTN, 94.589,Cold,PA,10258
48,I*UC[8]IWJ, 99.146,Cold,Plumber,7626
17,P*TC[5]JTB, 96.896,Cold,Cleaner,8060
45,D*SH[1]LTQ, 61.334,Cold,Accountant,3078
11,J*EY[1]RYV, 14.962,Cold,Manager,11673
54,3*VE[3]LQR, 97.462,Cold,Co-ordinator,10803
39,D*VD[7]PYO, 53.158,Cold,Labourer,8996
52,V*XN[5]CSI, 61.404,Hot,Labourer,10404
51,J*YL[2]ATS, 70.030,Cold,Director,11696
45,J*HH[7]XOA,111.578,Hot,Storeman,6536
53,L*JE[4]VDE, 41.700,Cold,Labourer,8918
41,G*VT[4]IIO, 95.766,Cold,Electrician,11704
32,O*FNM7]KTH, 36.483,Cold,Co-ordinator,3268
44,M*QQ[6]GAR, 46.813,Cold,Designer,6646
50,Z*IT[4]MIS, 29.901,Hot,Plumber,8472
8,D*GH[8]ZHJ, 21.143,Cold,Storeman,1519
46,D*WQ[7]FEV, 66.562,Hot,Developer,10205
49,8*UE[6]XKC, 16.429,Hot,Co-ordinator,3337
22,H*YU[7]ACX,  6.748,Cold,Director,8064
47,E*9O[9]RCV, 89.248,Cold,Cleaner,9494
51,M*LKc1]EVJ,  8.969,Hot,Tester,5951
52,D*BB[2]NPM, 47.652,Cold,PA,8333
27,B*QL[0]UCL, 98.068,Cold,Driver,7252
51,G*LV[6]QSM, 13.464,Hot,Director,9345
44,Q*WC[3]CXG, 83.722,Hot,Electrician,10607
25,T*SP[3]DTU, 21.062,Hot,Secretary,10150
27,A*VA[9]DWQ,105.827,Cold,Manager,8278
35,Q*LR[9]XRQ,110.048,Hot,Programmer,814
35,M*TJ[9]JWA, 60.997,Cold,Co-ordinator,8898
54,F*EI[5]AHN, 60.874,Cold,Developer,7989
36,D*TX[7]SRS, 50.163,Cold,PA,11959
43,L*UU[8]TQC,  7.668,Cold,Cleaner,11210
32,C*IN[8]IHR, 29.940,Cold,Manager,11915
48,K*JO[3]CRV, 85.581,Cold,Plumber,8446
39,C*FV[8]WRA, 12.801,Cold,Plumber,8925
54,G*YJ[4]FEY, 89.874,Cold,Leader,526
48,U*WC[2]SRD, 81.502,Cold,Plumber,9801
46,U*VZ[4]IZV, 31.931,Cold,Cleaner,11711
19,B*BT[1]ABR, 52.412,Hot,Developer,9451
11,G*TQ[3]GCQ,  8.986,Cold,Director,7029
40,L*ZE[7]NSC, 68.279,Hot,PA,10645
43,S*CT[5]HVF, 93.377,Cold,Programmer,7965
46,P*HF[7]PPN, 65.901,Hot,Co-ordinator,8178
43,N*WL[4]YAW, 46.049,Cold,PA,10241
42,S*UE[3]FOG, 37.913,Hot,PA,5632
13,W*JN[7]QZY,116.792,Cold,Driver,9581
46,K*WH[9]HVL, 49.472,Hot,Electrician,11879
53,Y*WC[3]CHM,100.912,Cold,Developer,9228
19,S*HP[5]MIJ,106.814,Cold,Plumber,8601
47,H*PP[7]JHV, 90.604,Cold,PA,2673
51,F*EP[1]LEK, 23.454,Hot,Tester,7807
19,Y*SR[8]YRB, 62.851,Cold,Tester,10992
20,V*AI[6]LNI,  3.682,Cold,Electrician,10827
43,U*PU[4]NSM,  4.462,Hot,Director,11506
40,T*NN[8]TPC, 62.858,Hot,Tester,3605
44,R*RB[5]VYJ, 77.117,Cold,Director,9832
21,B*YB[9]ROD, 54.545,Cold,Director,9054
41,X*IX[7]HTV, 77.052,Hot,Secretary,8556
39,7*LA[1]GZI,  9.689,Cold,Director,6655
46,9R*WY[5]ZND, 94.423,Cold,Co-ordinator,9330
45,M*GB[8]FHJ, 81.583,Hot,PA,3662
44,G*ZH[9]WXO, 85.964,Cold,Electrician,10179
45,B*JF[0]AAN, 87.087,Cold,Storeman,9612
47,X*TM[0]MKQ, 81.844,Cold,Developer,10674
52,C*XI[0]EYD, 92.146,Hot,Tester,11150
11,A*LS[5]BNQ, 13.405,Cold,Tester,7813
39,H*JL[5]UQK, 75.735,Hot,Developer,5692
12,I*HY[7]OYD, 95.532,Cold,Developer,10214
49,U*HX[4]PBX,113.058,Hot,Designer,3503
35,M*YM[5]BMP, 86.985,Hot,Designer,11529
46,W*RR[7]QOL,115.712,Hot,Storeman,10859
37,W*KD[5]JNA,101.879,Hot,Labourer,8424
36,D*AZ[6]JAD, 40.142,Cold,Developer,10998
42,S*II[2]AJJ, 84.235,Hot,Tester,5824
13,C*WP[2]RaT, 23.261,Cold,Cleaner,6128
37,A*EK[7]XCF, 98.560,Hot,Electrician,11446
51,Y*GU[0]SCY,114.995,Hot,Manager,9338
40,S*LN[4]XLE, 52.350,Hot,PA,9794
13,S*DY[5]XXK, 92.750,Cold,Tester,2918
52,D*DV[5]GWO, 66.711,Cold,Programmer,8274
45,T*NI[3]VZH, 86.961,Hot,Director,7939
6,S*QB[2]IRK,110.762,Cold,Programmer,3079
43,Q*MY[5]ZMQ, 34.150,Cold,Developer,8194
53,B*KJ[7]XHD, 89.719,Hot,Leader,7918
46,Q*CG[4]IMW, 27.774,Hot,Co-ordinator,9433
47,A*MD[1]DHC,101.028,Cold,Salesman,1571
39,Y*KN[0]BPC, 45.978,Hot,Labourer,2316
51,F*GA[1]JQP, 55.882,Cold,Director,11365
44,N*XE[0]RKQ, 56.980,Cold,Manager,9020
53,N*PH[8]MUP, 39.433,Hot,Developer,8352
31,P*YZ[5]KVH,  8.415,Hot,Programmer,2843
7,N*JI[3]QFC,107.536,Cold,Developer,1713
41,Q*AG[1]YDM, 59.713,Hot,Manager,7394
53,D*YJ[7]FIB, 16.685,Cold,Cleaner,1060
29,L*IH[6]FUA, 17.277,Cold,Electrician,10496
41,J*LU[9]TGK,106.417,Cold,Labourer,10133
43,X*SF[8]GFR, 48.229,Hot,Cleaner,8033
27,C*IQ[8]WAV, 76.340,Cold,Programmer,4241
43,B*GU[6]PFO,  4.309,Hot,Secretary,3349
53,D*6C[9]QTI, 47.900,Cold,Programmer,6988
52,Y*JD[9]VCU,104.618,Cold,Cleaner,8658
51,E*VI[6]HOV,  9.448,Hot,Director,8641
49,Y*OJ[9]UXH, 26.280,Cold,Designer,4858
27,V*IZ[4]WTH, 50.128,Hot,Accountant,1288
49,V*FW[0]RVX, 34.398,Hot,Plumber,10828
6,MZUI[8]BSZ, 98.480,Cold,Manager,1730
39,D*HB[8]DHD,103.077,Cold,Plumber,11229
52,L*QG[8]FlRL,110.493,Cold,Tester,816
49,E*XVq7]BSM, 88.386,Cold,Director,1780
26,D*LN[2]YSO, 19.237,Cold,Tester,2280
11,O*VQ[5]UET, 27.024,Hot,Director,3735
46,D*SN[7](IOW, 39.231,Hot,Co-ordinator,8388
49,R*RL[3]FXQ, 40.104,Hot,Accountant,11852
50,Z*OK[6]MPK, 29.170,Hot,Labourer,8328
39,V*ET[4]UWT,100.070,Cold,Developer,9992
43,H*VI[5]RKZ, 34.149,Cold,Electrician,2092
46,Q*CU[3]IYT, 84.996,Hot,Cleaner,8722
11,Z*XW[4]ETY, 31.070,Hot,Electrician,10445
42,Q*NM[3]AUJ,117.402,Cold,Director,8510
31,H*TK[6]TZU, 82.553,Cold,Manager,9269
44,P*LW[5]FAR, 70.110,Cold,Designer,8901
7,P*UV[5]NGA, 73.147,Hot,Leader,7454
53,X*AQ[2]YII, 40.349,Hot,Director,5711
52,E*OO[6]QRU, 82.431,Hot,Plumber,9837
49,U*ZA[8]HES, 41.142,Cold,Secretary,5288
41,Y*ED[9]VZK, 97.048,Cold,Co-ordinator,8100
47,N*IK[8]AYT, 84.976,Hot,Tester,7241
38,T*DA[1f]JJP, 28.009,Cold,Electrician,9445
32,Y*AO[8]SYG, 51.844,Hot,Tester,8237
44,S*ES[6]HLH, 44.504,Cold,Salesman,890
51,Z*RG[8]ZLV, 43.927,Cold,Labourer,8749
43,T*NW[7]CQZ,112.994,Hot,Programmer,10750
28,N*WX[3]=MD, 48.209,Cold,Labourer,8400
41,H*CG[8]GBA,100.161,Hot,Labourer,8457
32,R*GE[6]EVN,101.541,Cold,Salesman,8916
53,K*OS[8]HRI, 57.224,Cold,Tester,9308
51,K*JN[8]DIW, 67.013,Cold,Secretary,4057
41,E*ZW[4]SUC, 21.587,Cold,Cleaner,1477
54,Z*UZ[3]TBI,  5.060,Hot,Co-ordinator,4527
53,Y*LZ[6]RTY, 34.224,Hot,Accountant,10522
48,I*JV[8]KZZ, 63.596,Cold,Director,1148
42,I*PN[0]NNX, 62.408,Cold,Plumber,3331
10,Z*XJ[8]ISH, 72.026,Hot,Cleaner,6912
53,Z*KH[5]WRF, 52.890,Hot,Cleaner,8334
43,A*DO[6]EXQ, 17.138,Cold,Tester,10987
51,B*LI[2]ZYZ, 17.755,Hot,Labourer,8694
48,Z*QU[7]CWN, 43.834,Cold,Manager,8005
54,P*LM[5]DMW, 37.075,Cold,Plumber,6506
41,T*MK[9]UEC,118.815,Cold,Labourer,8316
26,E*VU[4]ZOV,112.182,Cold,Cleaner,10865
53,J*YR[5]ZFG, 43.241,Hot,Storeman,9411
47,G*GW[1]ERG, 49.124,Hot,Manager,11681
54,X*GD[8]CXC, 80.032,Cold,Secretary,5434
21,N*WE[5]PHK, 70.457,Cold,PA,1105
34,Q*KU[9]FLG, 97.356,Cold,Labourer,11635
42,F*VX[3]DIM,  9.877,Hot,Accountant,2655
40,A*CN[1]TXJ, 62.403,Cold,PA,11263
36,U*AE[6]CDO, 80.084,Hot,PA,11718
50,W*KH[8]FEI, 68.194,Cold,Plumber,3985
15,Q*IT[4]WDA, 24.576,Cold,Tester,8043
14,F*HF[0]DZK, 32.972,Hot,Labourer,7503
48,T*QW[1]GXB,113.620,Cold,Accountant,1868
44,V*WS[6]TBO, 86.957,Hot,Tester,134
41,L*ED[5]NTF, 28.323,Cold,Tester,8221
51,L*WI[5]QAP,105.137,Hot,Labourer,11394
39,V*FN[2]CHD, 13.266,Cold,Developer,8907
43,E*AM[0]FPW, 72.527,Hot,Tester,10082
46,J*SU[6]ASA, 93.955,Hot,Plumber,11088
53,X*PM[7]GN, 75.744,Hot,Tester,9167
51,D*CX[8]MPW, 60.239,Hot,Plumber,11152
43,D*AE[8]AUD, 70.559,Cold,Accountant,11466
39,A*FZ[6]RUL, 51.806,Cold,Programmer,4953
40,T*WR[6]OSB, 40.904,Cold,Manager,11382
48,D*QB[4]RHI,100.470,Hot,Director,11261
33,G*YQ[5]DVR,  3.391,Cold,Tester,6143
52,S*GL[1]VYW, 70.610,Cold,Cleaner,8088
38,Z*SE[6]NSG,117.070,Hot,Electrician,4459
52,B*DB[6]JQG, 58.856,Cold,Manager,6700
41,F*TE[5]DCH, 57.716,Hot,Director,11137
49,L*WN[1]NOT,111.650,Cold,Secretary,9878
21,A*LS[6]YDN,  4.264,Cold,Driver,7973
50,N*DR[1]UOK, 22.167,Hot,Tester,8586
39,T*GA[3]VAQ, 78.689,Hot,Plumber,11726
27,V*SH[2]BBZ, 43.221,Cold,PA,8345
37,H*DG[5]HYS,103.829,Cold,Salesman,8574
13,G*RR[9]UZT, 46.082,Hot,PA,11398
40,M*JX[6]ZAF, 29.992,Hot,Cleaner,10615
53,Y*WV[4]BBA, 44.103,Cold,Designer,11534
48,G*RH[1]VRU, 37.546,Hot,Salesman,280
44,M*CF[6]QOG, 90.889,Cold,Tester,11502
42,U*AH[7]ZFS, 78.374,Hot,Leader,8144
45,L*VO[7]MZQ, 64.610,Cold,Plumber,10679
50,L*PC[5]XHX, 56.433,Cold,Tester,8867
46,D*FG[3gHUX,  5.006,Cold,Secretary,1448
12,E*HO[8]AFA, 82.963,Cold,Salesman,8698
24,S*IT[8]ZDV, 66.657,Hot,Plumber,1433
48,E*TP[3]VYW,119.936,Cold,Cleaner,7671
51,S*AZ[4]XIC,110.126,Cold,Programmer,11788
50,B*WH[8]DWH, 13.710,Hot,Salesman,8543
45,E*CC[4]RKB, 88.698,Hot,Storeman,4063
43,I*DH[0]RGH, 63.861,Cold,Director,10095
37,C*RN[8]YYS, 70.587,Cold,Developer,8708
43,Z*LM[9]IJJ,114.766,Cold,Cleaner,9973
18,E*RP[9]KYV,  3.840,Cold,Tester,7425
54,KNNY[1]ETH, 67.996,Hot,Salesman,9293
49,E*GT[2]NZK,108.093,Cold,Plumber,10359
10,K*HZ[3]TRZ, 65.013,Hot,Labourer,8958
47,B*UF[5]LDA, 98.836,Cold,Co-ordinator,11778
46,C*ZH[8]2VC,106.650,Hot,Salesman,9472
24,W*MM[5]IMR, 90.306,Hot,Developer,6271
52,J*AH[5]SNU,102.706,Cold,Labourer,9398
14,A*KL[2]CHP, 31.506,Cold,Co-ordinator,10237
20,O*WA[6]VCF, 35.403,Cold,Director,11455
40,T*RN[3]YZY, 64.542,Hot,Plumber,3651
50,W*MF[4]CQF,101.125,Cold,Electrician,10140
45,K*UZ[7]DRX, 28.646,Cold,Programmer,11990
51,R*XL[f]WLM, 55.773,Hot,Salesman,10709
25,Z*QP[4]SRE, 35.421,Hot,Cleaner,8030
17,Z*BM[(]TDE, 43.390,Hot,Developer,4354
46,P*CK[6]VIX,112.307,Cold,Cleaner,7603
51,X*KW[0]NJP,117.847,Hot,Storeman,10718
52,K*US[2]LLN, 67.012,Hot,Plumber,9548
41,I*SF[4]UBS, 93.835,Hot,Secretary,9490
16,Q*BH[7]MDK, 14.632,Cold,Developer,11295
31,U*LU[9]N%X, 52.050,Cold,Developer,3009
52,D*GH[4]SLX, 25.399,Cold,Labourer,11454
50,R*FW[0]HXA, 53.808,Cold,Developer,4922
13,U*UO[2]JTF, 71.502,Hot,Labourer,10587
47,N*HN[4]CWK,  5.182,Cold,Electrician,10912
41,Z*QZ[5]TUL, 38.261,Hot,Developer,11393
41,G*IW[3]IAD,  4.820,Hot,Driver,11767
38,Q*FY[9]TKC,114.551,Cold,Director,10417
12,L*E8[6]NAA, 47.678,Cold,PA,8364
31,Y*AX[7]NAX, 29.987,Cold,Accountant,5119
51,K3*EL[3]VHM, 51.076,Hot,Manager,10155
45,H*JX[9]WWS, 11.057,Hot,Manager,9332
39,B*FC[6]AOQ, 65.376,Cold,Leader,8657
50,A*WC[0]XOX, 99.447,Hot,Programmer,8771
47,UqNE[6]BVY, 83.869,Hot,Designer,8947
39,M*RU[2]DNP, 23.882,Cold,Manager,9096
15,F*NV[3]ZHF,105.722,Hot,Manager,9067
40,L*DS[4iWIV, 71.107,Cold,Tester,9104
33,X*JY[7]KTV, 46.053,Cold,Co-ordinator,3131
